,name,desc
76,MyBuys,Provider of cross-channel personalization for brands and retailers. The company offers web recommendations and personalized
77,eShare Technologies,Provider of real-time customer and interactive communication services for e-commerce and online communities. The company\'s
78,Agouron Pharmaceuticals,"Developer of therapeutic products to treat cancer and AIDS. The company engages in the discovery,"
79,Aduva,"Developer of software applications for maintaining Linux computer systems. The company\'s product, Aduva OnStage, is"
80,Sinclair Meadows,Provider of residential houses and apartments. The company has seventeen home-sites along with restaurants and
81,Yepler,"Creator of an online social desktop community. The company\'s platform enables users to organize files,"
82,AccuDraft,Provider of business document automation services and online document production software. The company offers DocsEngine
83,Smart Button Associates,Provider of a web-based marketing platform. The company engages in rewarding and retaining their customers
84,Connectiva Systems,Developer of revenue management software products. The company provides revenue and risk management software that
85,Advanced DX,"Provider of testing equipment and personnel for diagnosis of clinical conditions including diabetic retinopathy, neuropathies"
86,Provost Systems,Provider of administrative and academic solutions for charter schools. The company provides web-services like Provost
87,LiveTime Software,Developer of IT service management software. The company provides a platform one of reactive incident
88,Regiohelden,Provider of online marketing services. The company helps local advertisers with search engine marketing software
89,Adify,Provider of the technology and back office services necessary for companies to run their own
90,Dapper,Provider of an advertising technology platform for creating dynamic display advertisements. The company provides a
91,Fotolog,Operator of a social networking site. The company’s site enables members to express themselves through
92,Comarch,Provider of IT products for operational and business processes. The company provides CRM and business
93,NowMedia,Provider of an online platform for live video streaming of events. The company engages in
94,Fiomi Diagnostics,Manufacturer and marketer of diagnostic test kits. The company also develops a panel of point-of-care
95,Telemic,Provider of wireless based remote sensing technologies for lighting and other applications. The company offers
96,Masimo,Manufacturer of innovative noninvasive patient monitoring technologies. The company offers noninvasive blood constituent patient monitoring
97,Empowered Careers,"Provider of online education services. The company has partnered with the University of California, Los"
98,ishoni Networks,Developer of broadband communication gateway technology. The company develops highly integrated Broadband Gateway Engines for
99,Gazoontite,"Provider of household products. The company provides products that help reduce asthma problems, allergies and"
100,Ultranat,Provider of technologies for the treatment of power plant waste ash. The company\'s technology enables
101,TestSource,"Provider of behavioral-based, pre-employment assessments for the healthcare industry. The company offers healthcare selection inventory"
102,LeftHand Networks,"Provider of flexible IP-SAN network storage solutions. The company also offers evaluation software, such as"
103,01 Communique Laboratory,Developer and provider of communication software and services. The company develops and markets remote access
104,Five Guys Restaurants (8 sites ),"Portfolio of 8 restaurants. The restaurants are located across central California including Elk Grove, Fresno,"
105,Paypal,Provider of a digital wallet and online payment services for individuals and businesses. The company
106,Circle of Moms,Provider of a community website platform for mothers. The company enables mothers to connect with
107,Sound Surgical Technologies,Manufacturer and seller of surgical and non-invasive body shaping products utilizing ultrasound technology. The company
108,Encounter Development Technologies,"Provider of end-to-end technology and online marketing services, including design, build, hosting and online marketing"
109,Aptara,"Provider of digital publishing software. The company offers PowerXEditor, an online authoring tool that focuses"
110,Reconda International,"Developer of web services extender applications. The company developed QN-AppWatch, a Web-based WebSphere MQ administration"
111,Quality Care Solutions,Developer of platform software products for the healthcare industry. The company provides healthcare claims administration
112,Decuma,"Developer of handwriting recognition software for wireless devices such as mobile phones, PDAs and digital"
113,Zip2,Operator of a mobile media company which creates applications that enable business partners to engage
114,Cellular-Blowout,"Provider of wireless products and services. The company provides cell phones, PDA, mobile software, phone"
115,Fredio,Developer of a video broadcasting application. The company offers internet video content accessible on internet
116,Allerez,"Provider of web-based information, real-time and disparate data sources. The company integrates disparate data sources"
117,Encampment Minerals,"Explorer of natural resources. The company is engaged in the exploration of copper, nickel, and"
118,OSspray,Developer of dental products. The company develops products that utilize air polishing technologies for the
119,No Wires Needed,Developer of wireless technologies. The company manufactures wireless products designed to enable high-speed wireless Internet
120,Open Monoclonal Technology,Developer of human monoclonal antibody platforms. The company develops human therapeutic antibodies based on transgenic
121,Microposite,Manufacturer of siding for buildings. The company offers siding and outside seal products and boards
122,Eridon,Provider of a complete platform for embedded system design. The company offers embedded system technology
123,Evotec International,Manufacturer of biopharmaceutical products. The company develops therapies for metabolic disorders based on model organisms
124,Oxford BioMedica,Developer of gene-based medicines and therapeutic vaccines. The company\'s technology platform includes a gene delivery
125,CreativeHub,Designer and Developer of websites and Builder of mobile and social media applications for entrepreneurial
126,Maptuit,Provider of navigation solutions to the transportation industry in the United States. The company specializes
127,OKWave,Operator of a question-answering website. The company provides a platform for users to solve their
128,Echoecho Media,"Developer of a location-based mobile application for finding friends. The company offers an open API,"
129,Bright View Technologies,Developer of microstructure-based optical films. The company offers LCD backlight films; light management film product
130,Carefx,Provider of information technology solutions to the healthcare organizations in North America and Europe. The
131,SilverSky,Provider of on demand security services for computer networks in the United States. The company\'s
132,Epocal,Provider of biochips and micro-fabrication of solid-state diagnostic devices. The company is implementing an entire
133,Chemrec,Developer of manufacturing technology for biofuels. The company provides a proprietary black liquor gasification technology
134,Indeed,Provider of an online job searching portal. The company acts as an external source of
135,TraceDetect,Provider of new chemical and optical sensors. The company provides research and commercialization of new
136,Frontlineshop,"Provider of an online retail store for streetwear. The company offers clothing, shoes and accessories"
137,ShowBiz Data,Provider of a B2B portal for the global entertainment industry. The company provides detailed information
138,Potomac Research Group,Provider of Washington policy analysis to institutional investors. The company provides market technical analysis and
139,Verrillon,"Manufacturer of specialty optical fibers and components for oil and gas, military, avionics, industrial and"
140,Resonex,Manufacturer of magnetic resonance imaging devices. The company manufactures and sells magnetic resonance imaging devices.
141,FCS Control Systems,Developer of electromechanical and electro hydraulic flight and vehicle simulation equipment. The company develops a
142,Triformix,"Manufacturer of precision polymer optic and opto-electronic systems. The company also provides medical devices, such"
143,QTY Systems,Manufacturer of machinery to apply insulation. The company develops machinery to automate the process of
144,Íshestar,Provider of horseback tours in Iceland. The company is an operator of equestrian-tourism services in
145,American Overseas Group,Provider of non-standard auto insurance. The company operates as a professional reinsurer through subsidiaries in
146,Virtual Computer,"Provider of a platform of PC life cycle management. The company offers NxTop, a client-side"
147,CheckFree,"Provider of electronic commerce services. The company provides electronic billing and electronic statement creation, delivery,"
148,Jolt Online Gaming,Developer and publisher of free to play browser and social games. The company develops and
149,Dot Wireless,"Developer of semiconductor chip sets, embedded communication protocol software, hardware reference solutions and semiconductor intellectual"
150,Kaffee Toro,Operator of an online subscription platform for coffee drinkers. The company provides online subscription services
151,Top Ten Media,Provider of media content on entertainment topics from the Web. The company draws information from
152,MCN,Provider of mobile search and advertising technology platform. The company provides advertising services to operators
153,Circular,Provider of user preference based online content. The company offers an infinitely scrolling feed of
154,Social Genius,Developer of social music application for smartphone that combines game mechanics with interactive radio stations.
155,MLRGB Restauration,Provider of steam cooked food products. The company operates as a restaurant serving steamed food
156,Hamilton Pharmaceuticals,Developer of medical treatments for diseases related to central nervous system. The company engages in
157,China Yachting Business Partnership,"Developer of China recreational boating industry. The company engages in boat manufacturing, full service marina"
158,Raster Graphics,Developer and manufacturer of large format digital color printing systems. The company is engaged in
159,Virtual Expert Clinics,Developer of an educational therapy supports for schools and districts to educate students with developmental
160,Care Team Connect,Provider of a care coordination platform. The company provides a technology platforms to coordinate between
161,Bongomagic,Provider of a platform for social-network marketing services. The company provides a platform that enables
162,Aristo Technology,Developer and marketer of design planning and assembly tools for complex IC and system-on-chip (SOC)
163,Precision Beam,Provider of laser cutting services. The company provides laser cutting and welding services in United
164,Liquiverse,Provider of a software for editing complex data lists in diagrams. The company develops and
165,Playtomic,Provider of analytics and services for casual and social games. The company\'s platform acts as
166,Cierra,Developer of novel therapies for the minimally invasive treatment of patent foramen ovale. The company
167,Ignition Mobile,Promoter of mobile applications. The company provides a platform offering exclusive deals for free applications.
168,SmartReceipt,Provider of personalized nutrition and marketing messages that enable consumers to make better food decisions.
169,Lookcraft,Retailer of curated men\'s apparel and accessories. The company provides men with clothing and accessories
170,Quidsi,"Operator of an online retail shop for baby care, health, beauty, and household essentials. The"
171,SocialEngine,Provider of an online community that rewards members for posting great content. The company provides
172,Network,Owner and operator of a social networking site for professionals. The company allows professionals to
173,Garage Sallaberry,"Provider of automobile repair services. The company engages in the maintenance, repair and servicing of"
174,Aspective,"Provider of e-commerce and WAP-based mobile applications and services for customer relationship management, business intelligence,"
175,eShip-4u,Provider of value added hardware and software services for the logistics and courier service industry.
176,Röntec,Developer of devices for X-ray elemental and structural analysis. The company offers x-ray spectrometers used
177,Amerigroup,Provider of managed healthcare services. The company focuses on serving people who receive healthcare benefits
178,Cemaphore Systems,Developer of e-mail continuity and content management solutions for the Microsoft Exchange. The company\'s products
179,PIA-Engineering,"Manufacturer of moving and lifting appliances. The company designs and delivers rolling, moving, sliding and"
180,Watch Hill Partners (CRM Program),Provider of electronic customer relationship management and technical service offerings. The company is a management
181,Sim Skin,Manufacturer of medical surgery training tool. The company manufactures surgical training model useful in surgical
182,Dynamotive Energy Systems,Provider of services for the conversion of biomass to liquid fuel. The company\'s pyrolysis technology
183,CircuLite,Developer of miniature blood pumps for the long-term treatment of chronic heart failure. The company
184,Avicenna Systems,Operator of an internet based healthcare information company. The company develops intranets for managed health
185,CTP Hydrogen,"Developer of a fuel reformer. The company\'s reformer generates pure hydrogen from conventional liquid fuels,"
186,Concurrent Thinking,Provider of computing systems and software. The company is involved in designing and implementation of
187,Chip Xonio Online,Provider information technology services. The company specializes in consumer technologies and also operates computer portal
188,Roomtag,Developer of a space management software. The company provides a web-based space management software that
189,Nisamest,Developer and provider of an enterprise resource planning software. The company offers product for financial
190,NYX Gaming Group,"Provider of hosted social gaming applications, social media, mobile, lottery games, play slots and games"
191,WaferScale Integration,Manufacturer of field-programmable peripheral integrated circuits. The company produces non-volatile PROM and EPROM memory products
192,fiveby tv,Provider of online videos based on user preference. The company scours the internet for the
193,Rewind.Me,Provider of platform that enables collection and organization of personal data. The company enables its
194,Google DeepMind,Developer of artificial intelligence technologies. The company combines machine learning and systems neuroscience to build
195,Foveon,Developer of an image sensor technology for digital capture products. The company offers pixel image
196,ModeWalk,Provider of online marketplace for luxury designers and craftsmen. The company enables luxury designers and
197,LeagueLink,Provider of web based league administration tools for the sports market. The company\'s product consists
198,Alveolus,"Developer of non-vascular interventional stent technology. The company designs, develops and manufactures non-vascular interventional stent"
199,OVIVO Mobile Communication,"Provider of mobile network services. The company provides free calls, texts and data each month,"
200,Silitech Technology,Manufacturer of silicon rubber keymats. The company engages in developing mechanism parts of mobile phones.
201,Matan Digital Printers,Manufacturer of professional digital printers. The company designs and manufactures printing equipment for three major
202,Legends Optical 4.0,Operator of optical laboratories. The company provides facility equipped with the lens processing technology.
203,Cloudy,Provider of mobile social decisioning platform. The company\'s online social platform allows users to ask
204,Alinea Pharmaceuticals,Develop of therapeutics for the treatment of diabetes and other metabolic disorders. The company also
205,Pantresse,"Manufacturer of hair care products. The company produces and sells shampoos, conditioners, hair sprays and"
206,Base-2 Capital,Provider of an algorithmic electronic trading. The company offers state of the art trading systems
207,Wild Bunch,Provider of an entertainment multichannel distribution platform. The company offers a regularly renewed slate of
208,Mine,Provider of an ownership directory that connects people and the items they buy to create
209,Mobixell Networks,Developer of mobile multimedia and advertising solutions to the mobile telecommunications industry. The company’s services
210,Map Pharmaceuticals,Developer of novel inhalation therapies for respiratory and systemic diseases. The company develops innovative drug
211,Performance Materials,"Provider of CFRT products and services to the recreational, protective, medical, electronics, construction, aerospace, automotive"
212,Blue Box Group,Provider of cloud hosting and managed services. The company provides a managed and automated application
213,Precision Light,Developer and distributor of body imaging systems. The company develops body imaging systems for simulating
214,Kiala,"Provider of collection points network in Europe. The company offers technological platform, which automates all"
215,Planfortytwo,Provider of sports gaming applications. The company builds sports-related social applications for Facebook and mobile
216,Luminate,Provider of an Internet service that turns static images into engaging content. The company\'s platform
217,Samna,Developer of word processing software for personal computers. The company serves as the springbroad for
218,Satori Labs,Provider of digital pen-and-paper solutions for healthcare forms automation. The company fuses digital pen and
219,SpearCast,Developer of web data extraction and data aggregation tools. The company offers a technology that
220,BeStylish,Provider of an online shopping platform in India. The company provides an online shopping platform
221,BufferBox,"Developer of an automated, self-serve kiosk to eliminate failed parcel deliveries. The company\'s kiosks allow"
222,iSend,Provider of bill payment and money-transfer services. The company enables customers to pay utility and
223,Open Data Registry,Provider of supply chain intelligence. The company\'s services help consumer brands to implement innovative financial
224,Metaboli (White Label Division),Provider of download stores for game publishers. The business offers commerce-as-a-service solutions for publishers of
225,AudioAsics,Developer of low-power audio technologies. The company designs microphone and audio signal conditioning ASICs for
226,Great Wall Semiconductor,Manufacturer of semiconductor products. The company focuses on providing a wide range of proprietary devices
227,Petbrosia,Online retailer of customized pet food. The company uses veterinarian and nutritionist designed algorithms to
228,eQuilibrium Solutions,Developer of energy management software.
229,Optimax Systems,"Provider of optical materials to make aspheres, cylinders, spheres. The company manufactures prototype optical components"
230,Given Goods Company,"Provider of an online marketplace that encourages social change for companies. The company offers apparel,"
231,Tonic Software,Innovator of web application management software for companies that rely on the Internet to conduct
232,Translarity,Manufacturer of semiconductor testing equipment. The company develops semiconductor testing technology and uses lasers to
233,Advanced Cardiac Therapeutics,Developer of temperature-sensing cardiac ablation systems for the treatment of patients with cardiac arrhythmias. The
234,DATAllegro,Provider of data warehouse appliances.
235,Medtech Pharma (Wales),Developer of bioencapsulation based life science and therapeutic products. The company offers drug delivery systems
236,TwoSixty,Provider of a web-based virtual phone system for small businesses. The company allows users to
237,InteCardia,Provider of cardiac-imaging services and equipment to cardiologists. The company provides disease- and practice-management services
238,ConforMIS,"Manufacturer of surgical devices for the treatment of early, moderate and late stage osteoarthritis of"
239,Karyopharm Therapeutics,"Developer of drugs for the treatment of cancer, inflammation and diseases related to cell proliferation."
240,Villij,"Provider of social networking site for content consumers. The company analyses Web content, such as"
241,Pharmacopeia,Developer of novel small molecule therapeutics to address significant medical needs. The company has a
242,Selatra,Selatra is a Mobile Game Service Provider. The company delivers a Business-to-Business service that includes:
243,Mervin Fine Wines,Importer and distributor of wines in China. The company is an importer of approximately 200
244,Lore,Provider of a cloud-hosted education service for instructors to manage courses and engage their students.
245,StackLead,Provider of automated sales research. The company provides financial business intelligence for developing sales leads.
246,Insurers World,Insurers World has been a chosen partner of insurance companies to establish accurate LKQ and
247,ImmunoTheragnostics Incorporated,"Developer of therapeutic and prognostic equipments. The company engages in research, development and commercialization of"
248,Wavefront Technologies,Producer of computer graphics & animation software. The company designs software for graphic designing and
249,Crisi Medical Systems,Developer of drug-delivery systems. The company\'s products are designed to improve clinical outcomes and lower
250,Nomi (Acquired),Provider of marketing-optimization platform for retailers. The company provides a platform enabling retailers to create
251,Virtustream,"Provider of cloud services and infrastructure services. The company provides cloud services, such as guaranteed"
252,Presence Networks,Provider of secure instant messaging services. The company also provides voice telephony services.
253,Filter Platforms,Developer and operator of a proprietary online business-social network. The company builds and operates proprietary
254,Fidelisoft,"Provider of stored-value transaction platform that supercharges various aspects of loyalty initiatives, which range from"
255,CGEN Digital Media Co.,Provider of lifestyle targeted interactive digital media network. The Company provides digital media platforms aimed
256,AsiaNet,Operator of an internet holding and management company. The company operates and invests in companies
257,Respirics,Provider of drug delivery and development services. The company is a respiratory drug delivery and
258,CardSpring,Provider of Application Programming Interface (API). The company\'s API lets developers add new capabilities to
259,SironaHealth,Provider of healthcare communication technology and service. The company developed the IntelliView system using proprietary
260,Up & Net,Provider of e-payment services to e-merchants. The company creates private e-payment programs. The company provides
261,Solaiemes,Developer of communication technology for mobility and unified communications. The company provides infrastructure to help
262,Shanghai 9Diamond Jewelry,Provider of online diamond retail store. The company offers a sale platform of diamond products
263,Band Digital,"Provider of digital marketing services. The company connects audiences, targets, and customers to brands, products,"
264,Vuokatti Hirsitalot,Provider of wooden houses. The company use a log reading of modern computer-controlled machining centers
265,MotoSport,Distributor of off-road motorcycle and all-terrain vehicle parts and equipment. The company offers bars and
266,Weilos,Provider of mobile based social platform to help users lose weight through accountability. The company\'s
267,Readia,Developer of educational hand-held device. The company provides learning tool that provides demonstrable educational value
268,Concilium Technologies,Provider of equipments and applications services. The company provides equipments and application services to companies
269,Portico Systems,Provider of health plans software solutions.
270,facilityboss,Developer of software for building owners and operators. The company develops various process optimizing applications
271,icast,"Operator of an online entertainment company. The company enables users to create, customize and share"
272,Jambool,Provider of a virtual economy platform. The company offers a payment API that provides way
273,Power Innovations International,"Provider of services for power management, power storage and green energy technologies for power generation"
274,Twice,Provider of online marketplace for secondhand clothing. The company provides an e-commerce site browsable by
275,Brightkite (acquired 2009),Provider of location-based social networking website. The company provides a locaiton-based social platform that fosters
276,EverySignal,Provider of computer software services. The company accelerates customer acquisition using data science.
277,Elemental Holding,Processor of metals from secondary sources in the non-ferrous scrap metal and electro-waste recycling markets.
278,Sight & Sound Distributors,"Distributor of home videos, video games and related accessories. The company buys prerecorded tapes from"
279,Monroe Motor Speedway,"Operator of auto race track in New Orleans. The company provides a paved race track,"
280,NeoDiagnostix,Operator of a cancer diagnostics company. The company uses molecular DNA technologies with a substantial
281,Laser Diagnostic Technologies,"Manufacturer of medical devices to detect early stage glaucoma and macular degeneration. The company develop,"
282,Visys,"Developer and marketer of automated visual inspection services, based on laser technology. The company provides"
283,CipherActive,Developer of a software for video coding. The company develops and markets accelerated standard encryption
284,EyeLock,"Provider of identity management technology. The company provides identity authentication-focused systems for border control, logical"
285,Portes Patio Résiver,Manufacturer of polyvinyl chloride doors. The company produces polyvinyl chloride doors and windows in Canada.
286,Diddit,Developer of the social networking site. The company\'s social platform enables people to discover new
287,Atego,Provider of software tools and professional services. The company helps organizations engineer systems and software.
288,Zars Pharma,"Developer of topically administered drugs. The company\'s products include Pliaglis, a topical local anesthetic cream"
289,DoodleDeals,Provider of daily deals for parents. The company offers an online platform where users can
290,GoPop,Provider of a mobile application for visual conversation. The company provides a social media platform
291,Brand New Brands,Developer of food and beverage products. The company makes food and drink products that provide
292,Allurent,"Developer of online shopping solutions. The company provides Rich Commerce Suite, which provides a strategic"
293,Argos Control,"Developer of advanced systems for automatic control of surfaces in wood, plaster and wooden panels"
294,Magellan Technology,Provider of RFID (Radio Frequency Identification) technology and related services. The company manufactures advanced read
295,SynCoal Partners,Provider of coal upgrading technology that mainly increase heat value of coal and reduce major
296,Qualcomm MEMS Technologies,"Developer of iMoD technology for mobile products. The company offers iMoD technology, which is based"
297,Ygsoft,Operator of a computer software development and consultancy company. The company develops and sells computer
298,Interactive Advisory Software,Provider of wealth management software-as-a-service (SaaS) solution for financial advisors and wealth managers. The company
299,Ontoprise,Provider of industry-proven semanticweb infrastructure technologies and products. The company\'s products are used to support
300,IHM Services,Provider of an analytics software for hospitals and healthcare institutions. The company focuses on transforming
301,bTendo,"Developer of personal projection technologies. The company\'s technology enable mobile users to project, view, and"
302,Pebbles,Developer of motion gesture technology. The company develops hardware and software to enable 3D gesture
303,Avtre,Developer and supplier of back-up software for data and related services. The company offers customized
304,Nevada County Wine Guild,Provider of wines. The company provides spirits and beers under private label and national brands.
305,Chomp,Promoter of iPhone/iPod Touch applications. The company offers an application search platform providing information on
306,Interland,Provider of web hosting services to small and medium sized businesses. The company provides web
307,NYX,Provider of oil and natural gas. The company specializes in the exploration and development of
308,Bahu.com,"Owner and operator of a social networking site for students. The company allows writers, artists,"
309,UniPress Software,Provider of software solutions for managing web-based help desk and support automation functions. The company
310,QuiQom Systems,Provider of high-speed broadband services. The company develops technology that allows individual units to use
311,SmartReply,Provider of voice and mobile messaging solutions to retailers and retail brands in the United
312,Microgenics Holding,"Manufacturer and seller of diagnostic reagents. The company offers CEDIA immunoassays, DRI products, including liquid"
313,Metasonic,Provider of software for subject oriented business process management. The company\'s core product Metasonic Suite
314,My New Financial Advisor,"Operator of an online wealth management company. The company focuses on portfolio analysis, growing nation-wide"
315,Amrahp,Developer and manufacturer of instruments for analysis and quality control of particles based on the
316,Gyros,Developer of automated micro-immunoassays for therapeutic protein development. The company develops a microfluidics technology for
317,Rolsen Electronics,"Manufacturer of household electronics in Russia. The company provides a range of consumer products, including"
318,EGS Group,Provider of cloud-based services to automate back office processes. The company offers outsourced and cloud-based
319,Arxan Defense Systems,Provider of an application protection and anti-tamper software to the federal market in the United
320,Ashby BioSystems,Developer of a platform technology based on a method for manufacturing porous silicone rubber. The
321,Hearing Science,"Provider of hearing health care and audiologist services. The company\'s services include marketing, public relations,"
322,BBR Wireless Management,"Provider of wireless management products and services. The company offers CELLector tool, software for wireless"
323,Geneva Bioinformatics,Developer of software and database for life science researchers. The company acts as an representative
324,GLYCART Biotechnology,Developer of antibody based products for the treatment of unmet clinical needs such as cancer.
325,eegoes,Provider of a social networking site. The company provides a user-friendly platform for social interaction.
326,AdBrite (Certain Intellectual Property Assets),"Provider of advertising services. The company has video, data management and optimization technology, which is"
327,Satoris,Provider of molecular diagnostics product meant for the test of Alzheimer\'s disease. The company uses
328,Koodos,Retailer of apparel and accessories. The company specializes in selling online excess inventory and end
329,Kawa Objects,"Provider of technology platform that enable datacenter infrastructure such as POTS, PANS and SAN infrastructure."
330,SeeCommerce,Provider of supply chain performance management and improvement application. The company enables business managers and
331,Parade Technologies,"Provider of digital integrated display and display interface solutions, and processing products. The company\'s products"
332,Cropsolution,"Developer of agrochemicals for protecting crops from weeds, pests and diseases. The company uses its"
333,Reverb Technologies,Operator of an online dictionary website. The company operates a dictionary which offers information on
334,Heidi\'s Gourmet Desserts,Manufacturer and distributor of frozen desserts to retail and food service outlets. The company produces
335,Akada,"Provider of information management system for educational organizations. The company offers products for schools, high"
336,Anagnostics Bioanalysis,Developer of systems and tests for multiplex clinical and medical research diagnostics. The company\'s Hybcell
337,YuMe,"Provider of digital-video advertising services. The company provides digital advertising, using its proprietary software that"
338,Metacafe,Provider of online video. The company specializes in short-form original content. It operates a Video
339,Quanticel Pharmaceuticals,Developer of medicines for the treatment of cancer and other life-threatening diseases. The company provides
