,name,desc
1516,Remedy Corporation,Developer of a software system and technology. The company develops a action request system and various applications software.
1644,Vhayu Technologies,Provider of market data solutions for the capture and analysis of streaming and historical data to financial institutions. The company combines software and hardware to provide advantages to financial firms that are seeking to increase their trading speed.
2331,Viadeo,"Operator of an online networking site for professionals. The company helps its users to find clients, suppliers, business partners, jobs and employees online."
3067,GroSocial,"Creator of social media marketing software that helps enterprises and SMBs expand their brands and find new customers through leading social media sites, including Facebook and Twitter. The company\'s products have helped thousands of businesses worldwide easily and affordably increase their social media presence and influence through effective, customized and targeted online branding, community creation, public relations and other touchpoints focused on converting audience engagement into revenue."
2292,Deal United,"Provider of online marketing network. The company provides rewards programs, such as Pay by Shopping, an online payment method that allows end customers to pay for their desired digital and virtual product by purchasing a coupon or product at one of its shopping partners."
1112,SiCortex,"Manufacturer of computers, computing systems, compiler suites, and personal development systems. The company also offers desk side, departmental, and data center packages. It serves universities, academic institutions, research laboratories, and government agencies in the United States."
452,Readmill,"Provider of an online reading platform. The company enables users to read, share and highlight the information of books."
1319,Unified Nexsys,"Manufacturer of software and hardware technologies for education and military markets. The company\'s configuration service provides situational awareness, access and control across different user platforms and devices. Its technology also develops applications requiring collaboration, connectivity and complex data acquisition and management."
1498,Enclotek Ready Panels,Manufacturer of electrical equipment. The company manufactures control panel boards.
2667,HStreaming,"Provides of services and consulting for real time data streaming and processing. The company\'s technology delivers performance to companies, academia and governments with data and low-latency requirements."
2989,AppCarousel Direct,"Provider of an application management platform for connected devices. The company provides a management platform for cars and fleets, smartphones, smart screens, tablets, and other connected devices to distribute, update, control and manage any kind of downloadable software or digital asset."
4344,Caw Networks,Developer of real-world capacity assessment products for websites and network devices. The company sells internet-based software which measures the capacity of web sites without having to put the sites under actual user loads.
4312,Volaris Advisors,"Provider of volatility management advice to individuals, trusts, foundations, banks, and money managers. The company provides customized investment products for banks and broker or dealers to manage investment risk and create portfolios."
1232,DeerTech,"Provider of three circles of protection to protect plants from deer to homeowners. The company provides its services in New York, Southern Connecticut, New Jersey, Eastern Pennsylvania, and Delaware. It offers sound, sprays, and switching things for protecting plants from deer."
1974,Pacific Microsonics,"Developer of digital audio technologies. The company offers a digital music software and a technology called High Definition Compatible Digital , which corrects audio distortions that occur during the digital recording process."
3595,Connectifier,Provider of a platform which connects recruiters to candidates. The company gives recruiters a complete view of prospective job candidates and a way to connect with those candidates.
3174,Cinet,Manufacturer of computers. The company provides computers in Norway and Finland.
1809,OculusAI,Provider of image validation services. The company develops software for automatic face detection and face recognition in images and video.
1384,Torrex Equipment,Developer of semiconductor manufacturing equipments. The company has developed a technology for front-end thermal film depositions that helps semiconductor manufacturers to build leading edge chips. It develops atomic layer deposition and low pressure chemical vapor deposition systems for the semiconductor industries.
1676,Awarix,Provider of communications and reporting tools to hospitals. The company\'s technology allow operational and administrative staff quick access to information across the healthcare enterprise.
1718,Emerald Exam,Developer of an exam administration software. The company\'s application offers paperless exams to address the many issues that arise with hand-written examinations and also prevents cheating.
3600,Proteon Networks,Provider of internet access and LAN products. The company markets the products of OpenROUTE Networks.
4716,First Bank of Rock,Provider of an intelligence network for artists. The company provides network platform which helps the artist to solve their issue for cash shortfall for tour and some others issues.
1176,Appeering,"Provider of a web-based tool-set that helps professional users discover and manage the most important, industry-specific social media conversations as they develop. The company is developing a web-based application to instantly enable users to listen to and join important conversations among leaders in various industries."
3341,Minekey,Provider of online content discovery and recommendation services. The company offers a social platform enabling users to share and recommend their online discoveries.
555,CastTV,"Operator of a website that helps people to watch videos through the Web. The company\'s website lets users find all their favorite online videos, from TV shows to movies to the latest celebrity, sports, news, and viral videos."
3352,eTunnels,Provider of virtual private network and security services. The company offers connection to network servers securely using VPN technology.
3889,Generated Systems Technologies,Provider of e-banking software products for banks and financial institutions. The company provides e-banking software and offers electronic payment softwares designed to address payment needs of corporations and correspondent banks.
3934,Sweetch (valet service),"Provider of an on-demand valet service for people in San Francisco. The company provides a way for office goers to order a valet through a mobile application, enabling the user to drop the car off in front of office and then request it whenever he is ready to leave."
1222,Healthcor,"Owner and operator of commercial real estate, lease employees and provider of managed healthcare to it\'s participants. The company owned and operated the Michigan HMO known as Great Lakes Health Plan, Great Lake Health Services, First Care Health Plan and F.C. Real Estate. The company was acquired by United Health Group in February, 2004."
4904,Tail-f Systems,Provider of configuration management and network automation software. The company creates an abstraction layer between network devices and centralized network control software.
4259,FlipSwap,Provider of mobile phone trade-in and recycling services. The company engages in the online trade of cell phones and recycles unusable phones in the United States.
1855,Tilford Pinson Exploration,Explorer and developer of oil and gas. The company develops coal-bed methane gas and hydrocarbon reserves utilizing horizontal drilling technology and 3-D seismic imaging to explore for hydrocarbon reserves.
4088,Clipik,Provider of video-editing platform. The company provides a platform with an interface that enables interaction between content-generating users and editors who help them edit their videos and images into workable productions.
991,DF&R Restaurants,"Owner of various restaurant chains. The company owns and operates 53 casual dining restaurants in Texas, Oklahoma, New Mexico, Indiana, Kentucky, Maryland, Ohio, Virgina and Michigan under the names ""Don Pablo\'s"" and ""Harrigan\'s""."
3845,Corio,"Provider of enterprise applications from software vendors such as Oracle, Siebel, and SAP. The company\'s product Applications on Demand 2005, offers a suite of applications management, infrastructure, and professional services. The application management services include providing computers, data center facilities, and networks to support software applications. It also includes customer support; application, security, and infrastructure management; data center; and network management solutions."
2393,Fintura,"Operator of a portfolio management company. The company\'s services include leading-edge product development, new account origination, agent issuing and portfolio management."
3241,Neoplex,"Developer of electronic lottery. The company develops, manufactures and markets electronic lottery based on organic electronics. It also developed the next generation of scratch card (instant lottery ticket), a patent pending new game product."
27,Opalis Software,"Provider of an  information technology (IT) process automation software products for the enterprises. The company provide software that integrates and automates common IT assets to automate the IT runbook. Opalis allow companies to capture the internal knowledge of their IT staff. Opalis helps to provide native operators to leading systems management monitors, problem resolution packages, backup tools, virtual machines, software distribution and network devices."
2048,Inimex Pharmaceuticals,"Developer of innate defense regulators (IDRs) that trigger the body\'s innate defenses without causing inflammation. The company provides product which is active against normal and drug resistant bacteria and used to stimulate host innate immune defenses. Its products are used to treat infections in immune suppressed patients, antibiotic resistant hospital infections, and the management of inflammatory and cancer disease."
3809,Cambridge Cognition,"Developer of cognitive testing software. The company also conducts computer-based cognitive tests used in academic research, pharmaceutical clinical trials and early detection screening for conditions such as Alzheimer\'s and depression."
3969,InPhase Technologies,"Developer of holographic data storage recording media and systems. The company also provides a range of holographic recording materials, test equipment and consulting services for research and development organizations. The company offers its products for film and television studios, corporate enterprises, and medical institutions."
2938,Macronix International,"Manufacturer of integrated device in the Non-Volatile Memory (NVM) market. The company provides a full range of NOR Flash, NAND Flash and ROM products with its R&D and manufacturing capability."
3435,Exchange.com,Developer of an online marketplace. The company is an e commerce marketplace which offers buyers a vast selection of merchandise from dealers and reputable sources.
1921,ADAP Nanotech,"Manufacturer of carbon nanotube based adhesives and coatings. The company specializes in manufacturing and commercialization of high performance thermally and electrically conductive adhesives for use in demanding industrial and electronics applications, with an initial focus on thermal interface materials deployed to facilitate cooling of electronic components."
1919,AccelChip,"Provider of algorithmic synthesis solutions for digital signal processing (DSP) design. The company develops and markets design tools, integrated verification flows, and parametric intellectual property toolkits that automate the development and implementation of DSP algorithms in field programmable gate-arrays and application-specific integrated circuits"
4523,Lumics,"Manufacturer of semiconductor diode laser for medical and industrial applications. The company manufactures semiconductors and diode lasers from 750 nm to 1960 nm in industry standard packages such as 14-pin butterfly, 8-pin miniDIL and 2-pin TO220 as well as a series of compact fiber coupled laser modules with output powers up to 900 W."
4797,VizionWare,"Developer of digital inter connect cables and adapters. The company offers high definition multimedia interface (HDMI) digital interconnects, fiber optic HDMI interconnects, digital visual interface (DVI) digital interconnects, HDMI-to-DVI digital interconnects, switcher and digital audio synchronizers, integrator-friendly accessory products, HDMI and DVI swivel adapters, HDMI connector locking mounts, and heavy duty cable pull through socks. It serves home theater, commercial, original equipment manufacturer and consumer markets."
1197,Shopa,Developer of a social advertising platform. The company provides a social marketplace for its users to provide personalized shopping feeds towards targeted social offers.
3135,Thirst Labs,"Provider of a software that enables people to interact and engage with social media. The company provides a platform that sorts and organizes social media, blogs and other online content. It gives users a single interface to track, post and comment on news topics from multiple users and online sources."
2589,AEP Networks,"Developer of security and communications technologies to governments, enterprises and carriers in the United Kingdom and internationally. The company\'s products include Series A Secure Application Access, which is available as hardware or virtual appliance that enables secure web browser access to a range of business applications, Series E IPSec VPN Encryptor, an independently assured encryptor that protects IP traffic across networks, Series K Hardware Security Module, a hardware security module designed to generate, store and protect cryptographic keys for mission critical applications that demand maximum security and Series V Managing, a heterogeneous network that is used by armies and other agencies that require fast, reliable and secure deployable communications."
4215,Tab Products,"Provider of document-management services and products for businesses. The company provides software as well as physical office storage systems to enable businesses to manage their digital and paper documents. The company also provides services for converting paper documents to digital format, as well as document purging and outsourcing file-room management."
3076,TerraSky,"Provider of cloud computing and system integration services. The company provides SkyVisualEditor, a tool for screen development that is used to simplify the salesforce screen and a platform for data collaboration called SkyOnDemand."
3020,Archer Technologies,"Provider of enterprise governance, risk, and compliance management software. The company provides policy management, threat management, asset management solutions and gain visibility into corporate risk and security controls."
291,Brand New Brands,"Developer of food and beverage products. The company makes food and drink products that provide health benefits beyond basic nutrition. It is developing a prenatal nutrition bar that includes calcium, folic acid and omega fatty acids."
2799,Pentland Systems,"Provider of signal acquisition technology and products. The company offers analog input/output, sigma delta, synchro and resolver modules which are complemented by digital input/output and relay products to form a comprehensive range of system ready, COTS, I/O products. The company also provides analog-acquisition and reconstruction products for sonar, radar, signal intelligence and software-defined radio applications in the aerospace and defense markets."
859,Stellr,Provider of data analytics platform. The company develops a suite of software as a service (SaaS) analytics technologies.
1393,Snocap,"Provider of digital licensing and copyright management services. The company offers MyStores, which enables artists and labels to sell the content over the Internet. It also provides digital music and technology services."
1005,Gynecare,"Developer of medical devices for the treatment of uterine disorders. The company offers devices like ThermaChoice Uterine Balloon Therapy system for treatment of women who experience dysfunctional uterine bleeding. It also offers VersaPoint Bipolar Electrosurgery system to treat women diagnosed with benign uterine pathologies including fibroids, polyps, adhesions and divided septa."
1075,AppFog,"Provider of a web based application platform. The company provides a platform as a service that allows to deploy, manage and scale applications written in all languages, with all frameworks, across public, private and hybrid clouds."
3670,Spinwave Systems,Developer of wireless sensor networks and sensing products. The company\'s products are used to reduce and simplify monitoring and control of commercial and industrial buildings.
3050,fluXXion,"Manufacturer of micro filtration membrane products. The company offers filter stack sub assemblies, an integrated dynamic cross flow pulsing system for bulk micro filtration applications and small wafer membrane segments for analytical test applications."
4987,Odigo,"Provider of instant messaging and presence management services to wireless carriers and service providers. The company also provides related services, including private-label IM client development, IM service hosting and installation."
3040,LFH Illuminating Brands,Provider of printing and design management services. The company creates designs for the ad-campaigns for various brands.
2473,Spiralcat,Provider of water and biofuel renewable services. The company recovers water and biofuel using harvesting systems that transform waste into valuable energy and water resources.
3776,MedApps,Developer of wireless patient monitoring devices. The company offers a range of portable health devices that automatically record a patients monitor readings and wirelessly transmits the data so that it can be monitored and acted upon by health care professionals.
1591,Neuromed Pharmaceuticals,Provider of small molecule drugs for the Biopharmaceutical industry. The company develops drugs targeting neuronal calcium channels to treat neurological disorders with the initial emphasis on chronic pain anxiety and stroke.
4348,AOL,"Creator of web based content and digital advertisement. The company offers content created by journalists, artists, musicians, politicians, writers and bloggers."
4191,IZZE Beverage,"Manufacturer and marketer of fruit juice beverages. The company also provides apparel, accessories and glassware to the consumers through its online store."
2200,MAXM Systems,"Developer of management software. The company develops network management software and is based in McLean, Virginia."
794,Gumhouse,Provider of social stream video shopping network. The company network uses Facebook to personalize users shopping experience.
2947,Harman International Industries,"Harman International Industries Inc was incorporated in 1980. The Company is engaged in the design and engineering of connected products and solutions for automakers, consumers and enterprises, including audio systems, visual products, enterprise automation solutions and connected services. Its manufacturing facilities are located in North America, Europe, Asia and South America. Its manufacturing facilities for its Infotainment segment are located in Hungary, Mexico, China, India, Brazil and the U.S. These facilities are used to manufacture infotainment systems. Its manufacturing facilities for its Lifestyle segment are located in Hungary, Mexico, China, India and the U.S. These facilities are used to manufacture its car audio systems. In North America, its principal Professional segment\'s manufacturing facilities are located in Mexico for loudspeakers, in Indiana for electronic products including amplifiers and effects devices, and in Washington for video and control products. Its Professional segment\'s electronics manufacturing in Europe includes mixing consoles in the United Kingdom, lighting solutions in Denmark and microphones and headphones in Austria. Its Professional segment\'s electronics manufacturing in Brazil includes electronic loudspeakers, amplifiers and other components. Its Professional segment\'s manufacturing in China includes audio electronics and loudspeakers. It sells its infotainment systems directly to automobile manufacturers in the U.S., Europe, Japan, South Korea, China and India, where it is installed as original equipment. It sells its Lifestyle car audio systems directly to automobile manufacturers in the U.S., Europe, India, Japan, China and South Korea. It sells its audio products to dealers via manufacturer\'s representatives. Services segment is a provider of product engineering outsourcing services with software development and market analytics services groups located in India, Russia and the Ukraine. It has 2,281 trademark registrations and 360 pending trademark applications. The Company is subject to various Federal, state, local and international environmental laws and regulations, including those governing the use, discharge and disposal of hazardous materials and, increasingly, the recycling of its products and their packaging."
2508,Cameraworld.com,"Provider of online shopping site for photographic equipment and digital imaging. The company is a retailer of brands such as Canon, Fuji, Kodak, Nikon, Olympus, Panasonic, Pentax and Sony."
3477,Totombola,"Provider of an automated tool for creating and managing viral promotions through various social channels. The company offers an online platform to create different types of campaign (sweepstakes, photo contests and discount coupons) for different targets. These campaigns are self-managing and self-configuring."
2031,Second Porch,"Provider of a social vacation home marketplace, where travelers can discover the perfect vacation rental through their trusted social circle. The company serves as a vacation home portal that offers private visibility for homeowners who only want their friends to see their home listing. The company\'s users can search for homes based on location, budget, recommendations, amenities and their relationship with the owner or former guests."
1240,Motilal Oswal Financial Services,"Provider of equity research services. The company provides market research, technical and derivative analysis and other research facilities for both institutional and retail investors in India."
1496,Hantro,"Provider of mobile video technology. The company provides hardware and software based MPEG4, H.263, H.264 and VC-1 video software specifically tailored for handheld devices. The company\'s product portfolio also includes video applications for video capturing, playback, messaging, streaming and telephony."
1932,Compass Information Services,"Developer of oncology and autoimmune therapeutics. The company is a distributor of the Compass (R) system, a procedure for assessing the outcomes of mental-health treatments. The company also engages in related research."
1061,Reliant Pharmaceuticals,"Developer of cardiovascular therapies. The company acquires and develops branded pharmaceutical products, as well as potential pharmaceutical products in mid- to late-stage clinical development for drug delivery technologies and formulation advancements."
764,Knowlix,Developer of knowledge tools software. The company develops knowledge tools for integration into the existing workflow of internal help desks and customer support centers.
4705,EP Technologies,Developer of invasive catheter-based diagnostic and therapeutic systems to diagnose and cure patients suffering from tachyarrhythmias. The company manufactures radiofrequency ablation products to treat cardiac arrhythmia. It develops minimally invasive catheter-based diagnostic and therapeutic systems to diagnose and cure patients suffering from tachyarrhythmias.
960,Custom Solutions USA,"Provider of brand merchandise programs. The company offers branded product, ecommerce and marketing services. Its solutions include Company Store Merchandise Programs, Special Order Merchandise, Events and Promotions Premium programs, Service Award Programs, Award Incentives, and Custom Web design."
2307,CodeEval,Provider of a technical screening platform for the auto evaluation of programming challenges. The company enables employers to identify promising candidates from a crowd of applicants by creating challenges and viewing their live coding submissions and helps freelancers/developers to sharpen their skills by competing with their peers.
2412,Profig,"Provider of phone system for business. The company provides call tracking, voice broadcasting, sales call centers, CRM integration all in a single dashboard. It also provides analytics on all calls and data."
909,InterCure,Provider of a medical device called RESPeRATE. The company\'s product helps in reducing blood pressure. RESPeRATE is a non drug treatment device.
1835,Cucumbertown,"Developer of an online recipe publishing platform. The company provides a social platform for chefs, food bloggers and home cooks to connect, share ideas and food secrets."
4090,Mangia Technologies,Provider of a platform for sports fans. The company enables people to order food and merchandise using mobile phones.
4198,Ansata Therapeutics,Operator of a biopharmaceutical company focused on dermatologic treatments. The company develops peptide-based topical antibiotics for skin issues.
1830,Tomi-Steel,"Manufacturer of industrial pipes. The company\'s products include pipe racks, prefabricated pipes, pressure vessels, pump modules and also offers cutting, bending pipes and welding service."
144,Íshestar,"Provider of horseback tours in Iceland.  The company is an operator of equestrian-tourism services in Iceland, providing traditional Icelandic horses, riding and dining facilities for riders, and promoting its services through an online booking site."
634,ImpactXoft,"Provider of software for product development. The company offers software support services and its suite enables industrial designers, product engineers, mold and tooling designers, and tool manufacturers to work together."
363,Shiva,"Provider of remote access for business. The company connects employees, customers and partners securely to business networks with integrated telephone network and internet based solutions."
2314,Pharmacy TV Networks,Provider of advertising platform for pharmaceutical companies. The company provides online media and advertising platform for medical and pharmaceutical companies.
4991,Canopy,Provider of business-to-business integration services. The company helps its clients in maximizing their investments in e-business technology.
3880,Locationary,"Provider of a global clearinghouse for local data in mobile, web search, profile publisher, managers and navigation applications. The company provides it\'s services for local business data fragmentation, accuracy and universal broadcast update challenges."
4580,Millennial Net,Provider of commercial and industrial wireless sensor networking software. The company provides a device that performs wireless network management tasks.
1636,Aegis Media Europe,Provider of research tools and client support services. The company offers business consulting based on the research data.
3529,Transcu Group,Operator of a drug delivery company. The company engages in the development of a transdermal drug delivery system based on iontophoresis.
2220,Autoquake,"Provider of an online platform for buying and selling used cars. The company is engaged in the online retail operations of pre-owned and used cars, sports utility vehicles, vans, estate cars, convertibles and sports cars of various manufacturers."
3517,Gulf Coast LNG Partners,"Developer of liquefied natural gas receiving, storage and re-gasification facility. The company\'s core project is Calhoun LNG, a liquefied natural gas (LNG) receiving, storage and regasification terminal."
3102,Netrepreneur Connections Enterprises,"Provider of online platform for buying and selling of used and new cars in the Philippines. The company provides online marketing platform for the Philippine automotive industry, it connect car buyers with private car sellers, used car trade dealerships and new car distributors."
739,Performable,Provider of an internet marketing software. The company provides a marketing software platform for converting visitors into customers.
2772,Power Computing,Manufacturer of Apple Macintosh-compatible computers. The company focuses on delivering Wintel-based systems.
4585,Vollee,Provider of PC and console-quality games on 3G mobile devices with a development & porting process. Their hosted software platform is designed to enable intelligent adaptation and real-time delivery of commercial games.
855,Spintec Engineering,"Developer of biomedical devices. The company specializes in silk devices with embedded biopharmaceuticals and uses silk platform technology for the development of novel medical devices for wound therapy as well as for applications in dental, maxillofacial and cardiovascular surgery."
2352,Chlorophylle,Operator of an online clothing store. The company provides an e-commerce platform which offers clothing products and accessories for users.
1196,Gradient Design Automation (Electrothermal Analysis Technology),Developer of a electrothermal analysis software. The company offers an technology which allows designers to identify and correct thermal problems during integrated circuit development.
301,bTendo,"Developer of personal projection technologies. The company\'s technology enable mobile users to project, view, and share multimedia content from PDAs, multimedia players, digital cameras, laptops, mobile phones, or other handheld devices."
4940,FAD IO,"Provider of social network platform. The company provides social network for products and shopping that helps users find better products through community curation, users get ratings, ideas and insights for product purchases from real people."
152,MCN,"Provider of mobile search and advertising technology platform. The company provides advertising services to operators and content providers which includes  MessagePlus, RichMedia Advertising and Social Media Advertising."
3467,Wanda Cinema Line,"Operator of a movie theater chain. The company had a total of 1,616 screens, including 94 IMAX screens, in 182 cinema complexes in 100 cities in China."
4470,NanoMR,Manufacturer of blood diagnostic devices. The company has developed a system for rapid isolation of rare cells from complex matrices at levels of one cell per milliliter or lower.
684,UFIS,"Provider of airport information technology. The company provides integrated information for single, multi-terminal and multi-airport operations for the global aviation community. The company was spun out of Kongsberg Airport System."
1184,Revolymer,"Developer of polymers for consumer products. The firm designs, develops and formulates polymers for consumer products within the FMCG markets."
2380,Align Technology,"Manufacturer of invisalign system for treating malocclusion or the misalignment of teeth. The company’s products include Invisalign Full for the treatment of a range of malocclusions. It corrects malocclusion using a series of clear, nearly invisible, removable appliances that gently move teeth to a desired final position."
3955,Splitforce,Developer of mobile testing applications. The company provides A/B testing for mobile applications and games.
2962,American Transitional Hospitals,Provider of long-term specialty transitional care. The company provides transitional care facilities for subacute patients.
3424,Jgzam,"Provider of an online food delivery platform. The company allows its users to discover new restaurants in their city, order food and even see what their friends are ordering from different restaurants. The website also allows restaurants to to accept orders from customers."
128,Echoecho Media,"Developer of a location-based mobile application for finding friends. The company offers an open API, cross-platform, carrier agnostic location sharing system which helsp users in searching for friends and suggesting meeting places."
1016,Qs Semiconductor Australia,Developer of disruptive non-volatile random access memory. The company offers a computer non-volatile memory of high density.
1145,NuCORE Technology,"Developer of digital and analog imaging devices for digital still and video cameras. The company offers image, analog, and digital processors. It also provides development and evaluation platforms based on its chips, as well as software component building blocks, including a software API interface, a hardware evaluation kit, and image tuning tools. It’s products are used for various imaging applications, including hybrid cameras, security and surveillance systems, and digital projectors."
2105,Humongous Entertainment,Developer of computer video games. The company develops educational games for children.
1486,Goby Technologies,"Operator of an online activity search engine and a mobile app that provides personalized activity recommendations. It offers information on various topics, such as hiking, beaches, parks, museums, restaurants, live music, family fun, outdoor recreation, offbeat activities, historic sites, bed and breakfasts, golf, and sports and games."
4099,Branded Payment Solutions,Provider of transaction processing services. The company provides a back-end transaction processing platform for retailers in Europe.
3760,Offermatic,"Operator of websites that offer daily deals on local goods, services, and cultural events for businesses and consumers. The company brings local buyers and sellers together by delivering personalized savings to consumers based on their spending history. By linking existing credit and debit cards to an Offermatic account, people receive automatic discount offers on products and services, without the hassle of redeeming coupons or vouchers."
1335,Codima Technologies,"Developer of software tools for organizations. The company enables users to view, maintain and store data on network inventory. It also helps organizations to reduce costs, save time and manage their infrastructure network. It sells network management tools."
1045,CAVI,"Provider of an online in-video purchase option. The company enables content-owners and publishers to integrate as an e-commerce shop into the online videos, without disturbing the experience of the user."
3064,Portico Club,"Provider of hospitality services. The company operates resorts, clubs and vacation homes at various places."
1831,Nidecon Technologies,"Designer and manufacturer of power-quality filtering technology for renewable energy and motor drives. The company creates its products based on a proprietary inductive design concept enabling it to reduce filter sizes. In addition, its products utilize integrated liquid cooling and forced-air cooling technologies."
2958,ZebraMobile,"Provider of online news platform. The company provides an application enabling mobile access to personalized news content, advertising and other online content."
652,Foundstone,"Developer of software for detecting and managing software vulnerabilities. The company offers a combination of enterprise software, appliances, consulting services and education to help organizations protect their assets from threats."
2944,Ansa Software,"Provider of a database management program. The company is the developer of Paradox, a ground-up relational database software product for personal computers."
3310,Silicon Graphics,"Developer of servers and data storage systems. The company develops, markets and sells a broad line of servers and data storage systems, as well as differentiating software."
4772,Adnexus Therapeutics,"Developer of Adnectins biologics/medicines in the United States. The company\'s product candidates include Angiocept/CT-322, an anti-angiogenesis agent for treating cancer that blocks the VEGFR-2 pathway; and other Adnectin therapies for the treatment of oncology, immunology, and cardiovascular diseases."
2678,NextCard,Provider of online credit card business targeting the consumer market. The company uses the Internet to acquire customers and provide immediate approval to qualified applicants.
629,Adocia,"Provider of insulin therapy and treatments for diabetic foot ulcers. The company is specialized in the development of medicines from already approved therapeutic proteins, and is actively engaged in formulation of a fast-acting human insulin and diabetic foot-ulcer healing product."
704,Four11,Provider of internet white pages directory service for locating email addresses. The company provides free online search and listing services.
3026,Apparel Media Group,"Provider of network marketing services to apparel industry. The company\'s platform delivers relationships with target consumers that brands can leverage to drive digital engagement metrics vital to fan acquisition, video distribution, content creation, CRM, and consumer insights initiatives."
4751,SportsCrunch,"Developer of web-based social media platform. The company\'s website bringing athletes, coaches, and fans together."
1076,Camilion Solutions,"Provider of product development and management services for insurance and other financial services organizations. The company\'s software creates enterprise product agility with strategic initiatives such as product lifecycle management, product bundling and product rationalization."
4626,Imeem,"Provider of online music, videos and photos. The company operates as an online community for musicians, directors, photographers and groups."
4117,Imsense,"Developer of various methods for automated enhancement of images. The company develops and licenses algorithms to original equipment manufacturers (OEMs) and independent software vendors (ISVs) to improve and complement their own software products. It developed several digital image enhancement services, including a compression technology, that improve the quality of all digital images (including videos) to make them look real, and as actually remembered."
1142,Greenvironment,Developer of micro-turbine technology.The company offers CHP plants in a power range of 30 kWel to 1 MWel with low maintenance requirements and low emissions.
3276,Zave Networks,"Operator of an incentive platform that links online and mobile incentive placement with in-store redemption. The company offers Zavers, an incentive network that replaces paper coupons and instead digitally links consumers, manufacturers, and retailers. Its solution gives product marketers a data environment around their incentives and online advertising."
342,Chromos Molecular Systems,"Developer of artificial chromosome technology for use in biopharmaceutical production. The company focuses on the development of proprietary artiﬁcial chromosome expression system technology that is used to engineer production quality cell lines to manufacture biopharmaceutical products, including monoclonal antibodies and the development of human therapeutic products."
453,Paisley,"Provider of solutions for governance, risk and compliance (GRC). The company is the software vendor which provides solutions for financial controls management, internal audit, operational risk management, compliance, IT governance, and enterprise risk management."
2925,Adapt Media,"Provider of wireless outdoor advertising solutions. The comapny specializes in display and communications technologies. It\'s product AdRunner, provides targeted location and time sensitive advertising. Its solutions enable advertisers to deliver real-time geo-targeted outdoor advertising."
